split,model,run,hps_pct,ranked_predictions
PBD,GPT-4.1-mini,1,19.385620915032728,1530
PBD,GPT-4.1-mini,2,19.15686274509809,1530
PBD,GPT-4.1-mini,3,19.379084967320303,1530
PBD,StarCoder2,1,20.354838709677324,1550
PBD,StarCoder2,2,17.751116071428488,1792
PBD,StarCoder2,3,18.794326241134662,1692
PBD,Llama3.1,1,10.662337662337716,1540
PBD,Llama3.1,2,10.751592356687958,1570
PBD,Llama3.1,3,10.738853503184774,1570
PBD,Mistral,1,9.20645161290326,1550
PBD,Mistral,2,9.08015768725364,1522
PBD,Mistral,3,9.082031250000036,1536
PBD,CodeLlama,1,7.222925902469791,6316
PBD,CodeLlama,2,6.024137344892016,5883
PBD,CodeLlama,3,6.387096774193477,6200
PBD,Qwen3-Coder,1,15.75226977950724,1542
PBD,Qwen3-Coder,2,15.16581632653071,1568
PBD,Qwen3-Coder,3,15.38165490699176,1559
PBD,DeepSeek-R1,1,7.463958060288365,1526
PBD,DeepSeek-R1,2,5.992578849721736,2156
PBD,DeepSeek-R1,3,5.551790900290442,2066
LFD,GPT-4.1-mini,1,31.24489795918378,490
LFD,GPT-4.1-mini,2,31.000000000000103,490
LFD,GPT-4.1-mini,3,31.04081632653072,490
LFD,StarCoder2,1,27.96000000000013,500
LFD,StarCoder2,2,27.070866141732438,635
LFD,StarCoder2,3,25.626072041166513,583
LFD,Llama3.1,1,15.15686274509803,510
LFD,Llama3.1,2,16.776699029126213,515
LFD,Llama3.1,3,15.669902912621353,515
LFD,Mistral,1,10.279999999999982,500
LFD,Mistral,2,11.111111111111093,513
LFD,Mistral,3,10.68226120857698,513
LFD,CodeLlama,1,8.508676789587888,1844
LFD,CodeLlama,2,8.522853957636608,1794
LFD,CodeLlama,3,9.694860813704548,1868
LFD,Qwen3-Coder,1,21.941747572815565,515
LFD,Qwen3-Coder,2,21.538461538461565,520
LFD,Qwen3-Coder,3,22.23076923076926,520
LFD,DeepSeek-R1,1,12.66666666666664,495
LFD,DeepSeek-R1,2,10.328571428571424,700
LFD,DeepSeek-R1,3,8.548951048951048,572
