split,model,mean_hps_pct
PBD,GPT-4.1-mini,19.307189542483705
PBD,StarCoder2,18.966760340746823
PBD,Llama3.1,10.717594507403483
PBD,Mistral,9.122880183385645
PBD,CodeLlama,6.544720007185095
PBD,Qwen3-Coder,15.433247004343237
PBD,DeepSeek-R1,6.336109270100181
PBD,Average,12.346928693664024
LFD,GPT-4.1-mini,31.0952380952382
LFD,StarCoder2,26.88564606096636
LFD,Llama3.1,15.867821562281865
LFD,Mistral,10.691124106562684
LFD,CodeLlama,8.908797186976347
LFD,Qwen3-Coder,21.903659447348797
LFD,DeepSeek-R1,10.514729714729704
LFD,Average,17.98100231058628
